"id","user_id","batch_name","file_name","file_size_kb","total_applications","approved_applications","rejected_applications","approval_rate","processed_at","processing_time_seconds"
"13","4","mixed_results_sample.csv","mixed_results_sample.csv","1.02","10","8","2","80.00","2025-12-27 18:50:54","2.82"
"14","4","low_risk_applicants.csv","low_risk_applicants.csv","0.98","10","10","0","100.00","2025-12-27 19:08:50","8.41"
"id","batch_id","applicant_name","annual_income","loan_amount","interest_rate","debt_to_income_ratio","credit_score","gender","marital_status","education_level","employment_status","loan_purpose","grade_subgrade","prediction","probability","risk_score","rejection_reasons","row_number"
"117","13","David Wilson","8500000.00","3000000.00","5.80","0.2200","810","Male","Married","PhD","Employed","Home","A1","1","0.9632",NULL,NULL,"1"
"118","13","Maria Garcia","3800000.00","1800000.00","14.20","0.5200","590","Female","Married","High School","Employed","Medical","F2","0","0.4593",NULL,NULL,"2"
"119","13","James Miller","9500000.00","4000000.00","4.90","0.1800","790","Male","Single","Master's","Self-employed","Business","A2","1","0.9865",NULL,NULL,"3"
"120","13","Sophia Davis","4200000.00","1200000.00","11.50","0.4800","620","Female","Single","Bachelor's","Employed","Education","C1","1","0.6118",NULL,NULL,"4"
"121","13","Michael Taylor","7200000.00","2500000.00","7.80","0.3200","710","Male","Divorced","Bachelor's","Employed","Car","B2","1","0.5661",NULL,NULL,"5"
"122","13","Emma Anderson","5500000.00","2000000.00","9.20","0.3800","680","Female","Married","Bachelor's","Employed","Debt consolidation","C3","1","0.6664",NULL,NULL,"6"
"123","13","Daniel Thomas","4800000.00","1500000.00","10.80","0.4200","640","Male","Single","High School","Unemployed","Other","D1","0","0.0024",NULL,NULL,"7"
"124","13","Olivia Martinez","6700000.00","2800000.00","6.50","0.2800","730","Female","Single","Master's","Employed","Home","A2","1","0.8990",NULL,NULL,"8"
"125","13","William Lee","8900000.00","3500000.00","5.20","0.2000","800","Male","Married","PhD","Employed","Business","A1","1","0.9904",NULL,NULL,"9"
"126","13","Ava Harris","5100000.00","2200000.00","8.50","0.3500","670","Female","Divorced","Bachelor's","Self-employed","Medical","B2","1","0.7395",NULL,NULL,"10"
"127","14","Steven King","12000000.00","5000000.00","4.20","0.1500","850","Male","Married","PhD","Employed","Home","A1","1","0.9921",NULL,NULL,"1"
"128","14","Amanda Clark","9500000.00","4000000.00","4.80","0.1800","820","Female","Married","Master's","Employed","Business","A2","1","0.9686",NULL,NULL,"2"
"129","14","Richard Baker","11000000.00","4500000.00","3.90","0.1200","840","Male","Married","PhD","Self-employed","Home","A1","1","0.9918",NULL,NULL,"3"
"130","14","Jessica Hall","8800000.00","3500000.00","5.50","0.2000","800","Female","Single","Master's","Employed","Education","A2","1","0.9960",NULL,NULL,"4"
"131","14","Thomas Wright","10500000.00","4200000.00","4.50","0.1400","830","Male","Divorced","PhD","Employed","Business","A1","1","0.9921",NULL,NULL,"5"
"132","14","Melissa Allen","9200000.00","3800000.00","5.20","0.1900","810","Female","Married","Master's","Employed","Home","A2","1","0.9853",NULL,NULL,"6"
"133","14","Charles Young","9800000.00","3900000.00","4.90","0.1700","825","Male","Single","PhD","Employed","Education","A1","1","0.9888",NULL,NULL,"7"
"134","14","Jennifer King","10100000.00","4100000.00","4.30","0.1300","835","Female","Widowed","Master's","Retired","Home","A2","1","0.9998",NULL,NULL,"8"
"135","14","George Hill","11500000.00","4800000.00","3.70","0.1100","845","Male","Married","PhD","Employed","Business","A1","1","0.9904",NULL,NULL,"9"
"136","14","Sandra Scott","9400000.00","3700000.00","5.00","0.1600","815","Female","Married","Master's","Employed","Car","A3","1","0.9664",NULL,NULL,"10"
"id","user_id","token","expires_at","is_used","created_at","used_at"
"id","user_id","applicant_name","annual_income","loan_amount","interest_rate","debt_to_income_ratio","credit_score","gender","marital_status","education_level","employment_status","loan_purpose","grade_subgrade","prediction","probability","risk_score","rejection_reasons","created_at"
"11","4","MUGABO Patrick","8500000.00","3000000.00","5.80","0.2200","810","Male","Married","PhD","Employed","Home","A1","1","0.9632",NULL,NULL,"2025-12-27 18:48:49"
"12","4","Esperance ISHIMWE","8500000.00","3000000.00","5.80","0.2200","810","Female","Married","Bachelor's","Employed","Car","A1","1","0.8839",NULL,NULL,"2025-12-27 19:03:03"
"id","username","email","full_name","hashed_password","is_active","is_admin","created_at","updated_at","last_login","is_verified","reset_token","reset_token_expiry"
"1","admin","admin@gmail.com","System Administrator","240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9","1","1","2025-12-19 21:33:57","2025-12-21 13:53:37","2025-12-21 12:14:18","0","ESt2Rr8Co7WJNWszImRMN06tf6nIduo1","2025-12-21 14:53:37"
"4","kalisa","kalisa@gmail.com","Augustin KALISA","240be518fabd2724ddb6f04eeb1da5967448d7e831c08c8fa822809f74c720a9","1","0","2025-12-19 23:08:43","2025-12-27 19:11:23","2025-12-27 19:11:23","0",NULL,NULL
"5","owen","kylenowen@yahoo.fr","ISHAMI BIGWI Kylen Owen","d5c827a582dd116d91c87086e0dfcc1f9746d138b33c876814cc5629008e3485","1","0","2025-12-21 10:24:24","2025-12-22 13:31:56","2025-12-22 13:31:56","0",NULL,NULL
"6","augustin","augustin@yahoo.fr","Augustin","7676aaafb027c825bd9abab78b234070e702752f625b752e55e55b48e607e358","1","0","2025-12-21 14:09:35","2025-12-21 14:09:35",NULL,"0",NULL,NULL
